(-0.5,-0.5,-0.5),(0.5,0.5,0.5)
(-0.5,-0.5,0.5),(0.5,0.5,0.5)
(-0.5,0.5,-0.5),(0.5,0.5,0.5)
(-0.5,0.5,0.5),(0.5,0.5,0.5)
(0.5,-0.5,-0.5),(0.9,0.2,0.2)
(0.5,-0.5,0.5),(0.9,0.2,0.2)
(0.5,0.5,-0.5),(0.9,0.2,0.2)
(0.5,0.5,0.5),(0.9,0.2,0.2)
(-0.5,-0.5,-0.5),(0.9,0.9,0.2)
(-0.5,-0.5,0.5),(0.9,0.9,0.2)
(0.5,-0.5,-0.5),(0.9,0.9,0.2)
(0.5,-0.5,0.5),(0.9,0.9,0.2)
(-0.5,0.5,-0.5),(0.9,0.9,0.9)
(-0.5,0.5,0.5),(0.9,0.9,0.9)
(0.5,0.5,-0.5),(0.9,0.9,0.9)
(0.5,0.5,0.5),(0.9,0.9,0.9)
(-0.5,-0.5,0.5),(0.2,0.9,0.2)
(-0.5,0.5,0.5),(0.2,0.9,0.2)
(0.5,-0.5,0.5),(0.2,0.9,0.2)
(0.5,0.5,0.5),(0.2,0.9,0.2)
(-0.5,-0.5,-0.5),(0.2,0.2,0.9)
(-0.5,0.5,-0.5),(0.2,0.2,0.9)
(0.5,-0.5,-0.5),(0.2,0.2,0.9)
(0.5,0.5,-0.5),(0.2,0.2,0.9)
4 0 1 2 1 2 3
